MonDO axiom predicate,predicate label,"MonDO axiom ""some values from"" object",object label,count
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002113,,524
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/HP_0000007,,500
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/PATO_0002097,,493
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0021128,,482
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0001250,,470
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0001503,,467
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0007798,,457
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002049,,454
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0050905,,447
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0007313,,447
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0040064,,421
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000948,,418
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001004,,379
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0100022,,370
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0016490,,368
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/MONDO_0005066,,366
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/HP_0000006,,366
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000474,,360
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0007600,,360
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000966,,352
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0007605,,325
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001798,,311
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0043227,,310
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/GO_0030849,,307
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0003198,,298
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0043292,,298
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0099080,,298
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/MONDO_0005027,,291
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/MONDO_0020022,,290
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0035639,,289
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0006082,,286
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0000556,,279
http://purl.obolibrary.org/obo/RO_0004025,disease causes dysfunction of,http://purl.obolibrary.org/obo/UBERON_0000966,,279
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0005975,,271
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001134,,267
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0006082,,259
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/MF_0000008,,253
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000160,,246
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0043010,,246
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0000726,,242
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0006091,,238
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000991,,230
http://purl.obolibrary.org/obo/RO_0004030,disease arises from structure,http://purl.obolibrary.org/obo/CL_0000066,,224
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0022201,,221
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0000789,,219
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0002524,,219
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/HP_0010985,,219
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/HP_0001417,,218
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000079,,209
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0072358,,206
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0006629,,205
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001003,,201
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001133,,200
http://purl.obolibrary.org/obo/RO_0004030,disease arises from structure,http://purl.obolibrary.org/obo/CL_0002494,,195
http://purl.obolibrary.org/obo/RO_0004022,disease has basis in feature,http://purl.obolibrary.org/obo/HP_0002960,,190
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001711,,184
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0034101,,182
http://purl.obolibrary.org/obo/RO_0004030,disease arises from structure,http://purl.obolibrary.org/obo/CL_0000988,,180
http://purl.obolibrary.org/obo/RO_0004028,realized in response to stimulus,http://purl.obolibrary.org/obo/NCBITaxon_2,,179
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0007507,,178
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0001317,,177
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000965,,174
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000021,,172
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0021141,,169
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001558,,168
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/MONDO_0005070,,165
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002037,,164
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0009117,,162
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/CL_0000066,,158
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0003824,,158
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0009117,,157
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0006520,,156
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0001251,,154
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0005739,,154
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/UBERON_0002037,,154
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0001251,,154
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0002250,,148
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/CL_0000738,,142
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002048,,142
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0005764,,139
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0007596,,138
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000165,,137
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000964,,129
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001264,,127
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/PATO_0002096,,127
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002423,,126
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002368,,123
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001637,,122
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0007754,,122
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0006119,,120
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/PATO_0001863,,120
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0003672,,117
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000074,,116
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0070085,,116
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0045087,,113
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0032991,,112
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0002376,,111
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002067,,110
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0004348,,109
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/PATO_0000389,,105
http://purl.obolibrary.org/obo/RO_0004027,disease has inflammation site,http://purl.obolibrary.org/obo/UBERON_0000014,,104
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002107,,104
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0045036,,104
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0034713,,101
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0002027,,100
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000016,,100
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0006006,,99
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/HP_0011463,,99
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002465,,97
http://purl.obolibrary.org/obo/mondo#disease_has_basis_in_development_of,http://purl.obolibrary.org/obo/mondo#disease_has_basis_in_development_of,http://purl.obolibrary.org/obo/UBERON_0000924,,96
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0001257,,93
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0010550,,93
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002027,,93
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/UBERON_0009773,,91
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/MONDO_0005027,,89
http://purl.obolibrary.org/obo/RO_0004028,realized in response to stimulus,http://purl.obolibrary.org/obo/NCBITaxon_10239,,89
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0006558,,89
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/GO_0005929,,87
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0003134,,84
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000995,,83
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0031424,,82
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/MONDO_0002280,,81
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0009773,,81
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002371,,80
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0016042,,80
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0005183,,80
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0019915,,80
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0007548,,79
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002046,,78
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0036302,,77
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0033059,,77
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000065,,76
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001091,,76
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002369,,74
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0001513,,71
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0000501,,71
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0001156,,70
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/MONDO_0001517,,70
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000992,,70
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0001156,,70
http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/mondo#disease_has_major_feature,http://purl.obolibrary.org/obo/HP_0003429,,70
http://purl.obolibrary.org/obo/RO_0004030,disease arises from structure,http://purl.obolibrary.org/obo/UBERON_0012429,,68
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/CL_0000236,,68
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0011932,,68
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0008066,,67
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0014032,,67
http://purl.obolibrary.org/obo/RO_0004027,disease has inflammation site,http://purl.obolibrary.org/obo/UBERON_0001017,,66
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0004765,,66
http://purl.obolibrary.org/obo/mondo#disease_causes_feature,http://purl.obolibrary.org/obo/mondo#disease_causes_feature,http://purl.obolibrary.org/obo/HP_0003074,,65
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002240,,64
http://purl.obolibrary.org/obo/RO_0004025,disease causes dysfunction of,http://purl.obolibrary.org/obo/UBERON_0002521,,64
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/CL_0000100,,63
http://purl.obolibrary.org/obo/RO_0004022,disease has basis in feature,http://purl.obolibrary.org/obo/MONDO_0005559,,63
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002101,,62
http://purl.obolibrary.org/obo/RO_0004020,disease has basis in dysfunction of,http://purl.obolibrary.org/obo/CL_0000233,,62
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0009100,,61
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0000496,,58
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0002321,,58
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001811,,57
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0010133,,57
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0004322,,56
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/MONDO_0005129,,56
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000059,,56
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0003015,,56
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0001548,,54
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002074,,54
http://purl.obolibrary.org/obo/RO_0004022,disease has basis in feature,http://purl.obolibrary.org/obo/HP_0000822,,54
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001132,,53
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001981,,53
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0004573,,53
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001768,,52
http://purl.obolibrary.org/obo/RO_0004022,disease has basis in feature,http://purl.obolibrary.org/obo/MONDO_0005550,,52
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0011001,,51
http://purl.obolibrary.org/obo/RO_0004022,disease has basis in feature,http://purl.obolibrary.org/obo/MONDO_0024237,,51
http://purl.obolibrary.org/obo/RO_0004030,disease arises from structure,http://purl.obolibrary.org/obo/UBERON_0004638,,50
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000007,,50
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001173,,50
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001557,,50
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0006665,,50
http://purl.obolibrary.org/obo/RO_0004030,disease arises from structure,http://purl.obolibrary.org/obo/UBERON_0034705,,49
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0005215,,49
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0000508,,48
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0002503,,48
http://purl.obolibrary.org/obo/RO_0004027,disease has inflammation site,http://purl.obolibrary.org/obo/UBERON_0002049,,48
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/CL_0000232,,48
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0009097,,48
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0007565,,48
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/HP_0003593,,48
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/SO_1000029,,48
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0000107,,47
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,http://purl.obolibrary.org/obo/HP_0002013,,47
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001750,,47
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0007568,,47
