i,explanation,fractional positions,,
ICD10CM:D78.32,,2,,
ICD10CM:D78.33,,2,,
ICD10CM:D78.34,,2,,
ICD10CM:D78.8,,1,,
ICD10CM:D78.81,,2,,
ICD10CM:D78.89,,2,,
ICD10CM:D78-D78,range,,,
ICD10CM:E00-E89,range,,,
ICD10CM:E15-E16,range,,,
ICD10CM:E20-E35,range,,,
ICD10CM:E21,no fractional part,,,
ICD10CM:E21.1,,1,,
ICD10CM:E21.4,,1,,
ICD10CM:E22,no fractional part,,,
ICD10CM:E22.9,,1,,
ICD10CM:E23,no fractional part,,,
ICD10CM:E27,no fractional part,,,
ICD10CM:E27.0,,1,,
ICD10CM:E30,no fractional part,,,
ICD10CM:E30.8,,1,,
ICD10CM:E34,no fractional part,,,
ICD10CM:E34.1,,1,,
ICD10CM:E34.2,,1,,
ICD10CM:E34.4,,1,,
ICD10CM:E35,no fractional part,,,
ICD10CM:E36,no fractional part,,,
ICD10CM:E36.0,,1,,
ICD10CM:E36.01,,2,,
ICD10CM:E36.02,,2,,
ICD10CM:E36.1,,1,,
ICD10CM:E36.11,,2,,
ICD10CM:E36.12,,2,,
ICD10CM:E36.8,,1,,
ICD10CM:E36-E36,range,,,
ICD10CM:E50-E64,range,,,
ICD10CM:E53,no fractional part,,,
ICD10CM:E56,no fractional part,,,
ICD10CM:E56.8,,1,,
ICD10CM:E61,no fractional part,,,
ICD10CM:E61.8,,1,,
ICD10CM:E61.9,,1,,
ICD10CM:E63,no fractional part,,,
ICD10CM:E63.1,,1,,
ICD10CM:E63.8,,1,,
ICD10CM:E65-E68,range,,,
ICD10CM:E66,no fractional part,,,
ICD10CM:E66.3,,1,,
ICD10CM:E67,no fractional part,,,
ICD10CM:E67.8,,1,,
ICD10CM:E70-E88,range,,,
ICD10CM:E71,no fractional part,,,
ICD10CM:E71.4,,1,,
ICD10CM:E71.40,,2,,
ICD10CM:E71.44,,2,,
ICD10CM:E71.448,,3,,
ICD10CM:E72,no fractional part,,,
ICD10CM:E74,no fractional part,,,
ICD10CM:E75,no fractional part,,,
ICD10CM:E78,no fractional part,,,
ICD10CM:E78.7,,1,,
ICD10CM:E78.70,,2,,
ICD10CM:E78.79,,2,,
ICD10CM:E78.9,,1,,
ICD10CM:E80,no fractional part,,,
ICD10CM:E87,no fractional part,,,
ICD10CM:E88,no fractional part,,,
ICD10CM:E88.4,,1,,
ICD10CM:E88.40,,2,,
ICD10CM:E88.49,,2,,
ICD10CM:E89,no fractional part,,,
ICD10CM:E89.6,,1,,
ICD10CM:E89.8,,1,,
ICD10CM:E89.81,,2,,
ICD10CM:E89.810,,3,,
ICD10CM:E89.811,,3,,
ICD10CM:E89.82,,2,,
ICD10CM:E89.820,,3,,
ICD10CM:E89.821,,3,,
ICD10CM:E89.822,,3,,
ICD10CM:E89.823,,3,,
ICD10CM:E89.89,,2,,
ICD10CM:E89-E89,range,,,
ICD10CM:H00-H05,range,,,
ICD10CM:H00-H59,range,,,
ICD10CM:H01,no fractional part,,,
ICD10CM:H01.8,,1,,
ICD10CM:H02,no fractional part,,,
ICD10CM:H02.7,,1,,
ICD10CM:H02.70,,2,,
ICD10CM:H02.79,,2,,
ICD10CM:H02.8,,1,,
ICD10CM:H02.83,,2,,
ICD10CM:H02.831,,3,,
ICD10CM:H02.832,,3,,
ICD10CM:H02.833,,3,,
ICD10CM:H02.834,,3,,
ICD10CM:H02.835,,3,,
ICD10CM:H02.836,,3,,
ICD10CM:H02.839,,3,,
ICD10CM:H15-H22,range,,,
ICD10CM:H18,no fractional part,,,
ICD10CM:H18.2,,1,,
ICD10CM:H18.21,,2,,
ICD10CM:H18.211,,3,,
ICD10CM:H18.212,,3,,
ICD10CM:H18.213,,3,,
ICD10CM:H18.219,,3,,
ICD10CM:H18.3,,1,,
ICD10CM:H18.30,,2,,
ICD10CM:H18.32,,2,,
ICD10CM:H18.321,,3,,
ICD10CM:H18.322,,3,,
ICD10CM:H18.323,,3,,
ICD10CM:H18.329,,3,,
ICD10CM:H18.8,,1,,
ICD10CM:H18.81,,2,,
ICD10CM:H18.811,,3,,
ICD10CM:H18.812,,3,,
ICD10CM:H18.813,,3,,
ICD10CM:H18.819,,3,,
ICD10CM:H18.82,,2,,
ICD10CM:H18.821,,3,,
ICD10CM:H18.822,,3,,
ICD10CM:H18.823,,3,,
ICD10CM:H18.829,,3,,
ICD10CM:H18.89,,2,,
ICD10CM:H18.891,,3,,
ICD10CM:H18.892,,3,,
ICD10CM:H18.893,,3,,
ICD10CM:H18.899,,3,,
ICD10CM:H21,no fractional part,,,
ICD10CM:H21.3,,1,,
ICD10CM:H21.30,,2,,
ICD10CM:H21.301,,3,,
ICD10CM:H21.302,,3,,
ICD10CM:H21.303,,3,,
ICD10CM:H21.309,,3,,
ICD10CM:H21.31,,2,,
ICD10CM:H21.311,,3,,
ICD10CM:H21.312,,3,,
ICD10CM:H21.313,,3,,
ICD10CM:H21.319,,3,,
ICD10CM:H21.32,,2,,
ICD10CM:H21.321,,3,,
ICD10CM:H21.322,,3,,
ICD10CM:H21.323,,3,,
ICD10CM:H21.329,,3,,
ICD10CM:H21.33,,2,,
ICD10CM:H21.331,,3,,
ICD10CM:H21.332,,3,,
ICD10CM:H21.333,,3,,
ICD10CM:H21.339,,3,,
ICD10CM:H21.5,,1,,
ICD10CM:H21.8,,1,,
ICD10CM:H21.82,,2,,
ICD10CM:H21.89,,2,,
ICD10CM:H21.9,,1,,
ICD10CM:H22,no fractional part,,,
ICD10CM:H30-H36,range,,,
ICD10CM:H31,no fractional part,,,
ICD10CM:H31.8,,1,,
ICD10CM:H32,no fractional part,,,
ICD10CM:H35,no fractional part,,,
ICD10CM:H35.6,,1,,
ICD10CM:H35.60,,2,,
ICD10CM:H35.61,,2,,
ICD10CM:H35.62,,2,,
ICD10CM:H35.63,,2,,
ICD10CM:H35.8,,1,,
ICD10CM:H35.89,,2,,
ICD10CM:H36,no fractional part,,,
ICD10CM:H43-H44,range,,,
ICD10CM:H49-H52,range,,,
ICD10CM:H50,no fractional part,,,
ICD10CM:H50.4,,1,,
ICD10CM:H50.5,,1,,
ICD10CM:H50.50,,2,,
ICD10CM:H51,no fractional part,,,
ICD10CM:H51.0,,1,,
ICD10CM:H51.1,,1,,
ICD10CM:H51.9,,1,,
ICD10CM:H53-H54,range,,,
ICD10CM:H55-H57,range,,,
ICD10CM:H57,no fractional part,,,
ICD10CM:H57.1,,1,,
ICD10CM:H57.10,,2,,
ICD10CM:H57.11,,2,,
ICD10CM:H57.12,,2,,
ICD10CM:H57.13,,2,,
ICD10CM:H57.8,,1,,
ICD10CM:H57.81,,2,,
ICD10CM:H57.811,,3,,
ICD10CM:H57.812,,3,,
ICD10CM:H57.813,,3,,
ICD10CM:H57.819,,3,,
ICD10CM:H57.89,,2,,
ICD10CM:H57.9,,1,,
ICD10CM:H59,no fractional part,,,
ICD10CM:H59.0,,1,,
ICD10CM:H59.02,,2,,
ICD10CM:H59.021,,3,,
ICD10CM:H59.022,,3,,
ICD10CM:H59.023,,3,,
ICD10CM:H59.029,,3,,
ICD10CM:H59.03,,2,,
ICD10CM:H59.031,,3,,
ICD10CM:H59.032,,3,,
ICD10CM:H59.033,,3,,
ICD10CM:H59.039,,3,,
ICD10CM:H59.09,,2,,
ICD10CM:H59.091,,3,,
ICD10CM:H59.092,,3,,
ICD10CM:H59.093,,3,,
ICD10CM:H59.099,,3,,
ICD10CM:H59.1,,1,,
ICD10CM:H59.11,,2,,
ICD10CM:H59.111,,3,,
ICD10CM:H59.112,,3,,
ICD10CM:H59.113,,3,,
ICD10CM:H59.119,,3,,
ICD10CM:H59.12,,2,,
ICD10CM:H59.121,,3,,
ICD10CM:H59.122,,3,,
ICD10CM:H59.123,,3,,
ICD10CM:H59.129,,3,,
ICD10CM:H59.2,,1,,
ICD10CM:H59.21,,2,,
ICD10CM:H59.211,,3,,
ICD10CM:H59.212,,3,,
ICD10CM:H59.213,,3,,
ICD10CM:H59.219,,3,,
ICD10CM:H59.22,,2,,
ICD10CM:H59.221,,3,,
ICD10CM:H59.222,,3,,
ICD10CM:H59.223,,3,,
ICD10CM:H59.229,,3,,
ICD10CM:H59.3,,1,,
ICD10CM:H59.31,,2,,
ICD10CM:H59.311,,3,,
ICD10CM:H59.312,,3,,
ICD10CM:H59.313,,3,,
ICD10CM:H59.319,,3,,
ICD10CM:H59.32,,2,,
ICD10CM:H59.321,,3,,
ICD10CM:H59.322,,3,,
ICD10CM:H59.323,,3,,
ICD10CM:H59.329,,3,,
ICD10CM:H59.33,,2,,
ICD10CM:H59.331,,3,,
ICD10CM:H59.332,,3,,
ICD10CM:H59.333,,3,,
ICD10CM:H59.339,,3,,
ICD10CM:H59.34,,2,,
ICD10CM:H59.341,,3,,
ICD10CM:H59.342,,3,,
ICD10CM:H59.343,,3,,
ICD10CM:H59.349,,3,,
ICD10CM:H59.35,,2,,
ICD10CM:H59.351,,3,,
ICD10CM:H59.352,,3,,
ICD10CM:H59.353,,3,,
ICD10CM:H59.359,,3,,
ICD10CM:H59.36,,2,,
ICD10CM:H59.361,,3,,
ICD10CM:H59.362,,3,,
ICD10CM:H59.363,,3,,
ICD10CM:H59.369,,3,,
ICD10CM:H59.8,,1,,
ICD10CM:H59.81,,2,,
ICD10CM:H59.811,,3,,
ICD10CM:H59.812,,3,,
ICD10CM:H59.813,,3,,
ICD10CM:H59.819,,3,,
ICD10CM:H59.88,,2,,
ICD10CM:H59.89,,2,,
ICD10CM:H59-H59,range,,,
ICD10CM:H60-H95,range,,,
ICD10CM:H65-H75,range,,,
ICD10CM:H67,no fractional part,,,
ICD10CM:H67.1,,1,,
ICD10CM:H67.2,,1,,
ICD10CM:H67.3,,1,,
ICD10CM:H67.9,,1,,
ICD10CM:H69,no fractional part,,,
ICD10CM:H69.8,,1,,
ICD10CM:H69.80,,2,,
ICD10CM:H69.81,,2,,
ICD10CM:H69.82,,2,,
ICD10CM:H69.83,,2,,
ICD10CM:H70,no fractional part,,,
ICD10CM:H70.8,,1,,
ICD10CM:H70.89,,2,,
ICD10CM:H70.891,,3,,
ICD10CM:H70.892,,3,,
ICD10CM:H70.893,,3,,
ICD10CM:H70.899,,3,,
ICD10CM:H73,no fractional part,,,
ICD10CM:H73.8,,1,,
ICD10CM:H73.89,,2,,
ICD10CM:H73.891,,3,,
ICD10CM:H73.892,,3,,
ICD10CM:H73.893,,3,,
ICD10CM:H73.899,,3,,
ICD10CM:H74,no fractional part,,,
ICD10CM:H74.2,,1,,
ICD10CM:H74.20,,2,,
ICD10CM:H74.21,,2,,
ICD10CM:H74.22,,2,,
ICD10CM:H74.23,,2,,
ICD10CM:H74.8,,1,,
ICD10CM:H74.8X,,2,,
ICD10CM:H74.8X1,,3,,
ICD10CM:H74.8X2,,3,,
ICD10CM:H74.8X3,,3,,
ICD10CM:H74.8X9,,3,,
ICD10CM:H74.9,,1,,
ICD10CM:H74.90,,2,,
ICD10CM:H74.91,,2,,
ICD10CM:H74.92,,2,,
ICD10CM:H74.93,,2,,
ICD10CM:H75,no fractional part,,,
ICD10CM:H75.0,,1,,
ICD10CM:H75.00,,2,,
ICD10CM:H75.01,,2,,
ICD10CM:H75.02,,2,,
ICD10CM:H75.03,,2,,
ICD10CM:H75.8,,1,,
ICD10CM:H75.80,,2,,
ICD10CM:H75.81,,2,,
ICD10CM:H75.82,,2,,
ICD10CM:H75.83,,2,,
ICD10CM:H90-H94,range,,,
ICD10CM:H91,no fractional part,,,
ICD10CM:H91.0,,1,,
ICD10CM:H91.01,,2,,
ICD10CM:H91.02,,2,,
ICD10CM:H91.03,,2,,
ICD10CM:H91.09,,2,,
ICD10CM:H91.3,,1,,
ICD10CM:H91.8,,1,,
ICD10CM:H91.8X,,2,,
ICD10CM:H91.8X1,,3,,
ICD10CM:H91.8X2,,3,,
ICD10CM:H91.8X3,,3,,
ICD10CM:H91.8X9,,3,,
ICD10CM:H92,no fractional part,,,
ICD10CM:H92.0,,1,,
ICD10CM:H92.01,,2,,
ICD10CM:H92.02,,2,,
ICD10CM:H92.03,,2,,
ICD10CM:H92.09,,2,,
ICD10CM:H93,no fractional part,,,
ICD10CM:H93.1,,1,,
ICD10CM:H93.11,,2,,
ICD10CM:H93.12,,2,,
ICD10CM:H93.13,,2,,
ICD10CM:H93.19,,2,,
ICD10CM:H93.2,,1,,
ICD10CM:H93.29,,2,,
ICD10CM:H93.291,,3,,
ICD10CM:H93.292,,3,,
ICD10CM:H93.293,,3,,
ICD10CM:H93.299,,3,,
ICD10CM:H93.8,,1,,
ICD10CM:H93.8X,,2,,
ICD10CM:H93.8X1,,3,,
ICD10CM:H93.8X2,,3,,
ICD10CM:H93.8X3,,3,,
ICD10CM:H93.8X9,,3,,
ICD10CM:H94,no fractional part,,,
ICD10CM:H94.0,,1,,
ICD10CM:H94.00,,2,,
ICD10CM:H94.01,,2,,
ICD10CM:H94.02,,2,,
ICD10CM:H94.03,,2,,
ICD10CM:H94.8,,1,,
ICD10CM:H94.80,,2,,
ICD10CM:H94.81,,2,,
ICD10CM:H94.82,,2,,
ICD10CM:H94.83,,2,,
ICD10CM:H95,no fractional part,,,
ICD10CM:H95.0,,1,,
ICD10CM:H95.00,,2,,
ICD10CM:H95.01,,2,,
ICD10CM:H95.02,,2,,
ICD10CM:H95.03,,2,,
ICD10CM:H95.1,,1,,
ICD10CM:H95.11,,2,,
ICD10CM:H95.111,,3,,
ICD10CM:H95.112,,3,,
ICD10CM:H95.113,,3,,
ICD10CM:H95.119,,3,,
ICD10CM:H95.12,,2,,
ICD10CM:H95.121,,3,,
ICD10CM:H95.122,,3,,
ICD10CM:H95.123,,3,,
ICD10CM:H95.129,,3,,
ICD10CM:H95.13,,2,,
ICD10CM:H95.131,,3,,
ICD10CM:H95.132,,3,,
ICD10CM:H95.133,,3,,
ICD10CM:H95.139,,3,,
ICD10CM:H95.19,,2,,
ICD10CM:H95.191,,3,,
ICD10CM:H95.192,,3,,
ICD10CM:H95.193,,3,,
ICD10CM:H95.199,,3,,
ICD10CM:H95.2,,1,,
ICD10CM:H95.21,,2,,
ICD10CM:H95.22,,2,,
ICD10CM:H95.3,,1,,
ICD10CM:H95.31,,2,,
ICD10CM:H95.32,,2,,
ICD10CM:H95.4,,1,,
ICD10CM:H95.41,,2,,
ICD10CM:H95.42,,2,,
ICD10CM:H95.5,,1,,
ICD10CM:H95.51,,2,,
ICD10CM:H95.52,,2,,
ICD10CM:H95.53,,2,,
ICD10CM:H95.54,,2,,
ICD10CM:H95.8,,1,,
ICD10CM:H95.81,,2,,
ICD10CM:H95.813,,3,,
ICD10CM:H95.819,,3,,
ICD10CM:H95.88,,2,,
ICD10CM:H95.89,,2,,
ICD10CM:H95-H95,range,,,
ICD10CM:ICD-10-CM,range,,,
ICD10CM:K00-K14,range,,,
ICD10CM:K00-K95,range,,,
ICD10CM:K01,no fractional part,,,
ICD10CM:K05,no fractional part,,,
ICD10CM:K05.5,,1,,
ICD10CM:K06,no fractional part,,,
ICD10CM:K06.9,,1,,
ICD10CM:K08,no fractional part,,,
ICD10CM:K08.0,,1,,
ICD10CM:K08.1,,1,,
ICD10CM:K08.10,,2,,
ICD10CM:K08.101,,3,,
ICD10CM:K08.102,,3,,
ICD10CM:K08.103,,3,,
ICD10CM:K08.104,,3,,
ICD10CM:K08.109,,3,,
ICD10CM:K08.11,,2,,
ICD10CM:K08.111,,3,,
ICD10CM:K08.112,,3,,
ICD10CM:K08.113,,3,,
ICD10CM:K08.114,,3,,
ICD10CM:K08.119,,3,,
ICD10CM:K08.12,,2,,
ICD10CM:K08.121,,3,,
ICD10CM:K08.122,,3,,
ICD10CM:K08.123,,3,,
ICD10CM:K08.124,,3,,
ICD10CM:K08.129,,3,,
ICD10CM:K08.13,,2,,
ICD10CM:K08.131,,3,,
ICD10CM:K08.132,,3,,
ICD10CM:K08.133,,3,,
ICD10CM:K08.134,,3,,
ICD10CM:K08.139,,3,,
ICD10CM:K08.19,,2,,
ICD10CM:K08.191,,3,,
ICD10CM:K08.192,,3,,
ICD10CM:K08.193,,3,,
ICD10CM:K08.194,,3,,
ICD10CM:K08.199,,3,,
ICD10CM:K08.4,,1,,
ICD10CM:K08.40,,2,,
ICD10CM:K08.401,,3,,
ICD10CM:K08.402,,3,,
ICD10CM:K08.403,,3,,
ICD10CM:K08.404,,3,,
ICD10CM:K08.409,,3,,
ICD10CM:K08.41,,2,,
ICD10CM:K08.411,,3,,
ICD10CM:K08.412,,3,,
ICD10CM:K08.413,,3,,
ICD10CM:K08.414,,3,,
ICD10CM:K08.419,,3,,
ICD10CM:K08.42,,2,,
ICD10CM:K08.421,,3,,
ICD10CM:K08.422,,3,,
ICD10CM:K08.423,,3,,
ICD10CM:K08.424,,3,,
ICD10CM:K08.429,,3,,
ICD10CM:K08.43,,2,,
ICD10CM:K08.431,,3,,
ICD10CM:K08.432,,3,,
ICD10CM:K08.433,,3,,
ICD10CM:K08.434,,3,,
ICD10CM:K08.439,,3,,
ICD10CM:K08.49,,2,,
ICD10CM:K08.491,,3,,
ICD10CM:K08.492,,3,,
ICD10CM:K08.493,,3,,
ICD10CM:K08.494,,3,,
ICD10CM:K08.499,,3,,
ICD10CM:K08.5,,1,,
ICD10CM:K08.50,,2,,
ICD10CM:K08.52,,2,,
ICD10CM:K08.53,,2,,
ICD10CM:K08.530,,3,,
ICD10CM:K08.531,,3,,
ICD10CM:K08.539,,3,,
ICD10CM:K08.54,,2,,
ICD10CM:K08.56,,2,,
ICD10CM:K08.59,,2,,
ICD10CM:K08.8,,1,,
ICD10CM:K09,no fractional part,,,
ICD10CM:K09.9,,1,,
ICD10CM:K12,no fractional part,,,
ICD10CM:K12.3,,1,,
ICD10CM:K12.30,,2,,
ICD10CM:K12.32,,2,,
ICD10CM:K12.33,,2,,
ICD10CM:K12.39,,2,,
ICD10CM:K13,no fractional part,,,
ICD10CM:K13.1,,1,,
ICD10CM:K13.7,,1,,
ICD10CM:K13.70,,2,,
ICD10CM:K13.79,,2,,
ICD10CM:K55-K64,range,,,
ICD10CM:K56,no fractional part,,,
ICD10CM:K56.5,,1,,
ICD10CM:K56.51,,2,,
ICD10CM:K56.52,,2,,
ICD10CM:K56.6,,1,,
ICD10CM:K56.7,,1,,
ICD10CM:K59,no fractional part,,,
ICD10CM:K60,no fractional part,,,
ICD10CM:K62,no fractional part,,,
ICD10CM:K62.8,,1,,
ICD10CM:K62.9,,1,,
ICD10CM:K63,no fractional part,,,
ICD10CM:K63.1,,1,,
ICD10CM:K65-K68,range,,,
ICD10CM:K66,no fractional part,,,
ICD10CM:K66.8,,1,,
ICD10CM:K67,no fractional part,,,
ICD10CM:K80-K87,range,,,
ICD10CM:K83,no fractional part,,,
ICD10CM:K86,no fractional part,,,
ICD10CM:K87,no fractional part,,,
ICD10CM:K90-K95,range,,,
ICD10CM:K91,no fractional part,,,
ICD10CM:K91.0,,1,,
ICD10CM:K91.6,,1,,
ICD10CM:K91.61,,2,,
ICD10CM:K91.62,,2,,
ICD10CM:K91.7,,1,,
ICD10CM:K91.71,,2,,
ICD10CM:K91.72,,2,,
ICD10CM:K91.8,,1,,
ICD10CM:K91.81,,2,,
ICD10CM:K91.84,,2,,
ICD10CM:K91.840,,3,,
ICD10CM:K91.841,,3,,
ICD10CM:K91.85,,2,,
ICD10CM:K91.858,,3,,
ICD10CM:K91.86,,2,,
ICD10CM:K91.87,,2,,
ICD10CM:K91.870,,3,,
ICD10CM:K91.871,,3,,
ICD10CM:K91.872,,3,,
ICD10CM:K91.873,,3,,
ICD10CM:K91.89,,2,,
ICD10CM:K92,no fractional part,,,
ICD10CM:K92.8,,1,,
ICD10CM:K92.89,,2,,
ICD10CM:K94,no fractional part,,,
ICD10CM:K94.1,,1,,
